datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
,,,,,,,degrees_east,degrees_east,degrees_east,degrees_north,degrees_north,degrees_north,m,m,UTC,UTC,seconds,,,,,,,,,,,,,,,,,,
allDatasets,public,NOAA/OAR/PMEL/SDIG,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,/erddap/tabledap/allDatasets.subset,/erddap/tabledap/allDatasets,/erddap/tabledap/allDatasets.graph,,,,,,,/erddap/info/allDatasets/index,http://sour.pmel.noaa.gov:8930/erddap,http://sour.pmel.noaa.gov:8930/erddap,http://sour.pmel.noaa.gov:8930/erddap/rss/allDatasets.rss,/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,NaN,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
v1r5_0614_e65f_664d,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0000-01-16T12:00:00Z,0000-12-15T17:49:12Z,2625322.909090909,/erddap/griddap/v1r5_0614_e65f_664d,,,/erddap/griddap/v1r5_0614_e65f_664d.graph,,,,/erddap/files/v1r5_0614_e65f_664d/,,,/erddap/info/v1r5_0614_e65f_664d/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_0614_e65f_664d.rss,/erddap/subscriptions/add.html?datasetID=v1r5_0614_e65f_664d&showErrors=false&email=,,NaN,Data from a local source.
v1r5_0a99_8f9a_a657,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1970-07-15T00:00:00Z,2007-07-15T00:00:00Z,3.1557016216216218E7,/erddap/griddap/v1r5_0a99_8f9a_a657,,,/erddap/griddap/v1r5_0a99_8f9a_a657.graph,,,,/erddap/files/v1r5_0a99_8f9a_a657/,,,/erddap/info/v1r5_0a99_8f9a_a657/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_0a99_8f9a_a657.rss,/erddap/subscriptions/add.html?datasetID=v1r5_0a99_8f9a_a657&showErrors=false&email=,,NaN,Data from a local source.
v1r5_62bd_239f_06ad,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975-01-01T00:00:00Z,2004-12-31T12:00:00Z,3.15576E8,/erddap/griddap/v1r5_62bd_239f_06ad,,,/erddap/griddap/v1r5_62bd_239f_06ad.graph,,,,/erddap/files/v1r5_62bd_239f_06ad/,,,/erddap/info/v1r5_62bd_239f_06ad/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_62bd_239f_06ad.rss,/erddap/subscriptions/add.html?datasetID=v1r5_62bd_239f_06ad&showErrors=false&email=,,NaN,Data from a local source.
v1r5_6431_eef2_329f,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975-01-01T00:00:00Z,2004-12-31T12:00:00Z,3.15576E8,/erddap/griddap/v1r5_6431_eef2_329f,,,/erddap/griddap/v1r5_6431_eef2_329f.graph,,,,/erddap/files/v1r5_6431_eef2_329f/,,,/erddap/info/v1r5_6431_eef2_329f/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_6431_eef2_329f.rss,/erddap/subscriptions/add.html?datasetID=v1r5_6431_eef2_329f&showErrors=false&email=,,NaN,Data from a local source.
v1r5_7e72_53cc_ab89,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,-179.875,179.875,0.25,-89.875,89.875,0.25,NaN,NaN,1970-01-16T12:00:00Z,2007-12-16T12:00:00Z,2629598.241758242,/erddap/griddap/v1r5_7e72_53cc_ab89,,,/erddap/griddap/v1r5_7e72_53cc_ab89.graph,,,/erddap/wms/v1r5_7e72_53cc_ab89/request,/erddap/files/v1r5_7e72_53cc_ab89/,/erddap/metadata/fgdc/xml/v1r5_7e72_53cc_ab89_fgdc.xml,/erddap/metadata/iso19115/xml/v1r5_7e72_53cc_ab89_iso19115.xml,/erddap/info/v1r5_7e72_53cc_ab89/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_7e72_53cc_ab89.rss,/erddap/subscriptions/add.html?datasetID=v1r5_7e72_53cc_ab89&showErrors=false&email=,,NaN,Data from a local source.
v1r5_a767_5762_74c6,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1970-07-15T00:00:00Z,2007-07-15T00:00:00Z,3.1557016216216218E7,/erddap/griddap/v1r5_a767_5762_74c6,,,/erddap/griddap/v1r5_a767_5762_74c6.graph,,,,/erddap/files/v1r5_a767_5762_74c6/,,,/erddap/info/v1r5_a767_5762_74c6/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_a767_5762_74c6.rss,/erddap/subscriptions/add.html?datasetID=v1r5_a767_5762_74c6&showErrors=false&email=,,NaN,Data from a local source.
v1r5_bf7a_c2b9_c18b,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1970-01-16T12:00:00Z,2007-12-16T12:00:00Z,2629598.241758242,/erddap/griddap/v1r5_bf7a_c2b9_c18b,,,/erddap/griddap/v1r5_bf7a_c2b9_c18b.graph,,,,/erddap/files/v1r5_bf7a_c2b9_c18b/,,,/erddap/info/v1r5_bf7a_c2b9_c18b/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_bf7a_c2b9_c18b.rss,/erddap/subscriptions/add.html?datasetID=v1r5_bf7a_c2b9_c18b&showErrors=false&email=,,NaN,Data from a local source.
v1r5_cd3e_f63e_2501,public,???,grid,Grid,EDDGridFromNcFiles,Data from a local source.,-179.875,179.875,0.25,-89.875,89.875,0.25,NaN,NaN,1970-01-16T12:00:00Z,2007-12-16T12:00:00Z,2629598.241758242,/erddap/griddap/v1r5_cd3e_f63e_2501,,,/erddap/griddap/v1r5_cd3e_f63e_2501.graph,,,/erddap/wms/v1r5_cd3e_f63e_2501/request,/erddap/files/v1r5_cd3e_f63e_2501/,/erddap/metadata/fgdc/xml/v1r5_cd3e_f63e_2501_fgdc.xml,/erddap/metadata/iso19115/xml/v1r5_cd3e_f63e_2501_iso19115.xml,/erddap/info/v1r5_cd3e_f63e_2501/index,(local files),???,http://sour.pmel.noaa.gov:8930/erddap/rss/v1r5_cd3e_f63e_2501.rss,/erddap/subscriptions/add.html?datasetID=v1r5_cd3e_f63e_2501&showErrors=false&email=,,NaN,Data from a local source.
